Workshop.Other.ammo.AP.SmallStash.Cal_357_Viper_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,Uncommon
Workshop.Other.ammo.AP.SmallStash.Cal_45_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,Common
Workshop.Other.ammo.AP.SmallStash.Cal_50_AE_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,VeryRare
Workshop.Other.ammo.AP.SmallStash.Cal_5_45x39mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,Uncommon
Workshop.Other.ammo.AP.SmallStash.Cal_7_62x39mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,Rare
Workshop.Other.ammo.AP.SmallStash.Cal_7_92x57mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,VeryRare
Workshop.Other.ammo.AP.SmallStash.Cal_9mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,Common
Workshop.Other.ammo.AP.SmallStash.Cal_9x39mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,Uncommon
Workshop.Other.ammo.Arrows.Bolts.Ammo_Crossbow_Bolt_Carbon,Uncommon,ExtremelyRare,Uncommon,Rare,Rare,VeryRare
Workshop.Other.ammo.Arrows.Bolts.Ammo_Crossbow_Bolt_Metal,Uncommon,ExtremelyRare,Uncommon,Rare,Rare,Rare
Workshop.Other.ammo.Arrows.Broadheads.Carbon.BigStash.Carbon_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,VeryRare,VeryRare,VeryRare,VeryRare
Workshop.Other.ammo.Arrows.Broadheads.Carbon.SmallStash.Carbon_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,VeryRare,VeryRare,Rare,Rare
Workshop.Other.ammo.Arrows.Broadheads.Carbon.SmallStash.Carbon_BroadHead_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,VeryRare,VeryRare,Rare,Rare
Workshop.Other.ammo.Arrows.Broadheads.Metal.BigStash.Carbon_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,VeryRare,VeryRare,VeryRare,VeryRare
Workshop.Other.ammo.Arrows.Broadheads.Metal.SmallStash.Metal_BroadHead_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,VeryRare,VeryRare,Rare,Rare
Workshop.Other.ammo.Arrows.Fieldtips.Carbon.BigStash.Carbon_BroadHead_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,Rare,Rare,VeryRare,VeryRare
Workshop.Other.ammo.Arrows.Fieldtips.Carbon.SmallStash.Metal_BroadHead_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,Rare,Rare,Rare,VeryRare
Workshop.Other.ammo.Arrows.Fieldtips.Metal.BigStash.Metal_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,Rare,Rare,VeryRare,VeryRare
Workshop.Other.ammo.Arrows.Fieldtips.Metal.SmallStash.Metal_Arrow,Uncommon,ExtremelyRare,Uncommon,Rare,Rare,Rare,Rare,Rare
Workshop.Other.ammo.Regular.BigStash.Cal_22,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Abundant
Workshop.Other.ammo.Regular.BigStash.Cal_45,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Common
Workshop.Other.ammo.Regular.BigStash.Cal_30-06,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Rare
Workshop.Other.ammo.Regular.BigStash.Cal_357_Viper,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Uncommon
Workshop.Other.ammo.Regular.BigStash.Cal_50_AE,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,VeryRare
Workshop.Other.ammo.Regular.BigStash.Cal_5_45x39mm,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Uncommon
Workshop.Other.ammo.Regular.BigStash.Cal_7_62x39mm,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Rare
Workshop.Other.ammo.Regular.BigStash.Cal_7_92x57mm,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,VeryRare
Workshop.Other.ammo.Regular.BigStash.Cal_9mm,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Common
Workshop.Other.ammo.Regular.BigStash.Cal_9x39mm,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Uncommon
Workshop.Other.ammo.Regular.BigStash.FlareItem,Uncommon,ExtremelyRare,Uncommon,Common,Uncommon,Rare
Workshop.Other.ammo.Regular.Boxed.Cal_22_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Abundant
Workshop.Other.ammo.Regular.Boxed.Cal_30-06_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Rare
Workshop.Other.ammo.Regular.Boxed.Cal_357_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Uncommon
Workshop.Other.ammo.Regular.Boxed.Cal_45_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Common
Workshop.Other.ammo.Regular.Boxed.Cal_50_AE_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,VeryRare
Workshop.Other.ammo.Regular.Boxed.Cal_5_45x39mm_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Uncommon
Workshop.Other.ammo.Regular.Boxed.Cal_7_62x39mm_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Rare
Workshop.Other.ammo.Regular.Boxed.Cal_7_92x57mm_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,VeryRare
Workshop.Other.ammo.Regular.Boxed.Cal_9mm_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Common
Workshop.Other.ammo.Regular.Boxed.Cal_9x39mm_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Uncommon
Workshop.Other.ammo.Regular.SmallStash.Cal_22,Uncommon,ExtremelyRare,Uncommon,Common,Common,Abundant
Workshop.Other.ammo.Regular.SmallStash.Cal_45,Uncommon,ExtremelyRare,Uncommon,Common,Common,Common
Workshop.Other.ammo.Regular.SmallStash.Cal_30-06,Uncommon,ExtremelyRare,Uncommon,Common,Common,Rare
Workshop.Other.ammo.Regular.SmallStash.Cal_357_Viper,Uncommon,ExtremelyRare,Uncommon,Common,Common,Uncommon
Workshop.Other.ammo.Regular.SmallStash.Cal_50_AE,Uncommon,ExtremelyRare,Uncommon,Common,Common,VeryRare
Workshop.Other.ammo.Regular.SmallStash.Cal_5_45x39mm,Uncommon,ExtremelyRare,Uncommon,Common,Common,Uncommon
Workshop.Other.ammo.Regular.SmallStash.Cal_7_62x39mm,Uncommon,ExtremelyRare,Uncommon,Common,Common,Rare
Workshop.Other.ammo.Regular.SmallStash.Cal_7_92x57mm,Uncommon,ExtremelyRare,Uncommon,Common,Common,VeryRare
Workshop.Other.ammo.Regular.SmallStash.Cal_9mm,Uncommon,ExtremelyRare,Uncommon,Common,Common,Common
Workshop.Other.ammo.Regular.SmallStash.Cal_9x39mm,Uncommon,ExtremelyRare,Uncommon,Common,Common,Uncommon
Workshop.Other.ammo.Regular.SmallStash.FlareItem,Uncommon,ExtremelyRare,Uncommon,Common,Common,Rare
Workshop.Other.ammo.Tracers.BigStash.Cal_22_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Abundant
Workshop.Other.ammo.Tracers.BigStash.Cal_30-06_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Uncommon
Workshop.Other.ammo.Tracers.BigStash.Cal_357_Viper_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Uncommon
Workshop.Other.ammo.Tracers.BigStash.Cal_45_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Common
Workshop.Other.ammo.Tracers.BigStash.Cal_50_AE_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,VeryRare
Workshop.Other.ammo.Tracers.BigStash.Cal_5_45x39mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Uncommon
Workshop.Other.ammo.Tracers.BigStash.Cal_7_62x39mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Rare
Workshop.Other.ammo.Tracers.BigStash.Cal_7_92x57mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,VeryRare
Workshop.Other.ammo.Tracers.BigStash.Cal_9mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Common
Workshop.Other.ammo.Tracers.BigStash.Cal_9x39mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Uncommon,Uncommon
Workshop.Other.ammo.Tracers.Boxed.Cal_22_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Abundant
Workshop.Other.ammo.Tracers.Boxed.Cal_30-06_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Rare
Workshop.Other.ammo.Tracers.Boxed.Cal_357_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Uncommon
Workshop.Other.ammo.Tracers.Boxed.Cal_45_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Common
Workshop.Other.ammo.Tracers.Boxed.Cal_50_AE_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,VeryRare
Workshop.Other.ammo.Tracers.Boxed.Cal_5_45x39mm_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Uncommon
Workshop.Other.ammo.Tracers.Boxed.Cal_7_62x39mm_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Rare
Workshop.Other.ammo.Tracers.Boxed.Cal_7_92x57mm_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,VeryRare
Workshop.Other.ammo.Tracers.Boxed.Cal_9mm_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Common
Workshop.Other.ammo.Tracers.Boxed.Cal_9x39mm_Ammobox_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,VeryRare,Uncommon
Workshop.Other.ammo.Tracers.SmallStash.Cal_22_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,Abundant
Workshop.Other.ammo.Tracers.SmallStash.Cal_357_Viper_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,Uncommon
Workshop.Other.ammo.Tracers.SmallStash.Cal_45_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,Uncommon
Workshop.Other.ammo.Tracers.SmallStash.Cal_50_AE_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,VeryRare
Workshop.Other.ammo.Tracers.SmallStash.Cal_5_45x39mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,Uncommon
Workshop.Other.ammo.Tracers.SmallStash.Cal_7_62x39mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,Uncommon
Workshop.Other.ammo.Tracers.SmallStash.Cal_9mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,Common
Workshop.Other.ammo.Tracers.SmallStash.Cal_9x39mm_TR,Uncommon,ExtremelyRare,Uncommon,VeryRare,Common,Uncommon
Workshop.Other.Backpacks.Assault.Military_Backpack_01_01,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Backpacks.Assault.Military_Backpack_01_04,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Backpacks.Assault.Military_Backpack_01_05,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Backpacks.Belt_Pistol_Holster,Uncommon,ExtremelyRare,VeryRare,VeryRare
Workshop.Other.Backpacks.Hiking.Camo.Military_Backpack_02_01,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,VeryRare,VeryRare
Workshop.Other.Backpacks.Hiking.Camo.Military_Backpack_02_04,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,VeryRare,VeryRare
Workshop.Other.Backpacks.Hiking.Camo.Military_Backpack_02_05,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,VeryRare,VeryRare
Workshop.Other.Backpacks.Hiking.Other.Hiking_Backpack_01_01,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,Rare,Rare
Workshop.Other.Backpacks.Hiking.Other.Hiking_Backpack_Tyrone,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare,Rare,ExtremelyRare
Workshop.Other.Backpacks.Knife_Sheath,Uncommon,ExtremelyRare,VeryRare,VeryRare
Workshop.Other.Backpacks.Military_Quiver_01,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare
Workshop.Other.Backpacks.Plain.Backpack_02_01,Uncommon,ExtremelyRare,VeryRare,Rare,Rare
Workshop.Other.Backpacks.Plain.TC_Backpack,Uncommon,ExtremelyRare,VeryRare,Rare,VeryRare
Workshop.Other.Backpacks.School.Leather_Backpack_01,Uncommon,ExtremelyRare,VeryRare,Common,Uncommon
Workshop.Other.Backpacks.School.School_Backpack_01,Uncommon,ExtremelyRare,VeryRare,Common,Uncommon
Workshop.Other.Backpacks.WaistBags.Waist_Bag_Small_01,Uncommon,ExtremelyRare,VeryRare,Uncommon,Rare
Workshop.Other.Flares.FlareItem,Uncommon,ExtremelyRare,Rare,Uncommon
Workshop.Other.FoodAndDrink.Cans.BakedBeans,Uncommon,ExtremelyRare,Rare,Uncommon,Rare
Workshop.Other.FoodAndDrink.Cans.BeefRavioli,Uncommon,ExtremelyRare,Rare,Uncommon,Rare
Workshop.Other.FoodAndDrink.Cans.BeefStew,Uncommon,ExtremelyRare,Rare,Uncommon,Rare
Workshop.Other.FoodAndDrink.Cans.CannedGoulash,Uncommon,ExtremelyRare,Rare,Uncommon,VeryRare
Workshop.Other.FoodAndDrink.Cans.CannedSardine,Uncommon,ExtremelyRare,Rare,Uncommon,Uncommon
Workshop.Other.FoodAndDrink.Cans.CannedSpaghetti,Uncommon,ExtremelyRare,Rare,Uncommon,Rare
Workshop.Other.FoodAndDrink.Cans.Chow_Mein,Uncommon,ExtremelyRare,Rare,Uncommon,Rare
Workshop.Other.FoodAndDrink.Cans.MRE_Cheeseburger,Uncommon,ExtremelyRare,Rare,Uncommon,Rare
Workshop.Other.FoodAndDrink.Drink.Beer,Uncommon,ExtremelyRare,Rare,Uncommon,Rare
Workshop.Other.FoodAndDrink.Drink.Can01,Uncommon,ExtremelyRare,Rare,Uncommon,Uncommon
Workshop.Other.FoodAndDrink.Drink.Kicmovaca,Uncommon,ExtremelyRare,Rare,Uncommon,ExtremelyRare
Workshop.Other.FoodAndDrink.Drink.PETBottle01,Uncommon,ExtremelyRare,Rare,Uncommon,VeryRare
Workshop.Other.Money.Cash,Uncommon,ExtremelyRare,ExtremelyRare,Rare
Workshop.Other.Soap,Uncommon,ExtremelyRare,Uncommon
Workshop.Other.Weapons.AssaultRifles.Weapon_AK47,Uncommon,ExtremelyRare,ExtremelyRare,ExtremelyRare,Rare
Workshop.Other.Weapons.AssaultRifles.Weapon_AKM,Uncommon,ExtremelyRare,ExtremelyRare,ExtremelyRare,Rare
Workshop.Other.Weapons.Bows.Compounds.Compound_Bow,Uncommon,ExtremelyRare,ExtremelyRare,Common,VeryRare,Rare
Workshop.Other.Weapons.Bows.Recurves.Recurve_Bow,Uncommon,ExtremelyRare,ExtremelyRare,Common,Common,Common
Workshop.Other.Weapons.Bows.Recurves.Recurve_Bow_50,Uncommon,ExtremelyRare,ExtremelyRare,Common,Common,Common
Workshop.Other.Weapons.Bows.Recurves.Recurve_Bow_60,Uncommon,ExtremelyRare,ExtremelyRare,Common,Common,Uncommon
Workshop.Other.Weapons.Bows.Recurves.Recurve_Bow_70,Uncommon,ExtremelyRare,ExtremelyRare,Common,Common,Uncommon
Workshop.Other.Weapons.Bows.Recurves.Recurve_Bow_80,Uncommon,ExtremelyRare,ExtremelyRare,Common,Common,Rare
Workshop.Other.Weapons.Bows.Recurves.Recurve_Bow_90,Uncommon,ExtremelyRare,ExtremelyRare,Common,Common,Rare
Workshop.Other.Weapons.Bows.Recurves.Recurve_Bow_100,Uncommon,ExtremelyRare,ExtremelyRare,Common,Common,VeryRare
Workshop.Other.Weapons.Bows.Weapon_BlackHawk_Crossbow,Uncommon,ExtremelyRare,ExtremelyRare,Common,ExtremelyRare
Workshop.Other.Weapons.Handguns.Weapon_Block21,Uncommon,ExtremelyRare,ExtremelyRare,Common,Rare
Workshop.Other.Weapons.Handguns.Weapon_Krueger,Uncommon,ExtremelyRare,ExtremelyRare,Common,Abundant
Workshop.Other.Weapons.Handguns.Weapon_M1911,Uncommon,ExtremelyRare,ExtremelyRare,Common,Rare
Workshop.Other.Weapons.Handguns.Weapon_M9,Uncommon,ExtremelyRare,ExtremelyRare,Common,Rare
Workshop.Other.Weapons.Handguns.Weapon_M9_Silver,Uncommon,ExtremelyRare,ExtremelyRare,Common,Rare
Workshop.Other.Weapons.Other.Attachments.Bayonets.Kar98_Bayonet,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Bayonets.M1_Bayonet,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Bayonets.M70_Bayonet,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Bayonets.Mosin_Bayonet,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Bayonets.N9s.1H_N9_Black,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,ExtremelyRare,ExtremelyRare
Workshop.Other.Weapons.Other.Attachments.Bayonets.N9s.1H_N9_White,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,ExtremelyRare,ExtremelyRare
Workshop.Other.Weapons.Other.Attachments.Camouflage.WeaponGhillie_Desert,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,VeryRare,Rare
Workshop.Other.Weapons.Other.Attachments.Camouflage.WeaponGhillie_Winter,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,VeryRare,Rare
Workshop.Other.Weapons.Other.Attachments.Camouflage.WeaponGhillie_Woodland,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,VeryRare,Rare
Workshop.Other.Weapons.Other.Attachments.Flashlights.WeaponFlashlight_AS_Val,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Flashlights.WeaponFlashlight_DesertEagle,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Rare
Workshop.Other.Weapons.Other.Attachments.Flashlights.WeaponFlashlight_M9,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Uncommon
Workshop.Other.Weapons.Other.Attachments.Rails.DW715_Rail,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Rare
